x	y	class
148.150000	6.446429	x
148.150000	5.267857	x
148.150000	4.089286	x
149.050000	19.410714	x
149.050000	18.232143	x
149.050000	17.053571	x
149.050000	15.875000	x
149.050000	14.696429	x
149.050000	13.517857	x
149.050000	12.339286	x
149.050000	11.160714	x
149.050000	9.982143	x
149.050000	8.803571	x
149.050000	7.625000	x
149.050000	6.446429	x
149.050000	5.267857	x
149.050000	4.089286	x
165.450000	19.410714	o
165.450000	18.232143	o
165.450000	17.053571	o
165.450000	15.875000	o
165.450000	14.696429	o
165.450000	13.517857	o
165.450000	12.339286	o
165.450000	11.160714	o
165.450000	9.982143	o
165.450000	8.803571	o
165.450000	7.625000	o
165.450000	6.446429	o
165.450000	5.267857	o
165.450000	4.089286	o
166.350000	19.410714	o
166.350000	18.232143	o
166.350000	17.053571	o
166.350000	15.875000	o
166.350000	14.696429	o
166.350000	13.517857	o
166.350000	12.339286	o
166.350000	11.160714	o
166.350000	9.982143	o
166.350000	8.803571	o
166.350000	7.625000	o
166.350000	6.446429	o
166.350000	5.267857	o
166.350000	4.089286	o
167.250000	19.410714	o
167.250000	18.232143	o
167.250000	17.053571	o
167.250000	15.875000	o
167.250000	14.696429	o
167.250000	13.517857	o
167.250000	12.339286	o
167.250000	11.160714	o
167.250000	9.982143	o
167.250000	8.803571	o
167.250000	7.625000	o
167.250000	6.446429	o
167.250000	5.267857	o
167.250000	4.089286	o
168.150000	19.410714	o
168.150000	18.232143	o
168.150000	17.053571	o
168.150000	15.875000	o
168.150000	14.696429	o
168.150000	13.517857	o
168.150000	12.339286	o
168.150000	11.160714	o
168.150000	9.982143	o
168.150000	8.803571	o
168.150000	7.625000	o
168.150000	6.446429	o
168.150000	5.267857	o
168.150000	4.089286	o
169.050000	19.410714	o
169.050000	18.232143	o
169.050000	17.053571	o
169.050000	15.875000	o
169.050000	14.696429	o
169.050000	13.517857	o
169.050000	12.339286	o
169.050000	11.160714	o
169.050000	9.982143	o
169.050000	8.803571	o
169.050000	7.625000	o
169.050000	6.446429	o
169.050000	5.267857	o
169.050000	4.089286	o
165.450000	36.410714	o
165.450000	35.232143	o
165.450000	34.053571	o
165.450000	32.875000	o
165.450000	31.696429	o
165.450000	30.517857	o
165.450000	29.339286	o
165.450000	28.160714	o
165.450000	26.982143	o
165.450000	25.803571	o
165.450000	24.625000	o
165.450000	23.446429	o
165.450000	22.267857	o
165.450000	21.089286	o
166.350000	36.410714	o
166.350000	35.232143	o
166.350000	34.053571	o
166.350000	32.875000	o
166.350000	31.696429	o
166.350000	30.517857	o
166.350000	29.339286	o
166.350000	28.160714	o
166.350000	26.982143	o
166.350000	25.803571	o
166.350000	24.625000	o
166.350000	23.446429	o
166.350000	22.267857	o
166.350000	21.089286	o
167.250000	36.410714	o
167.250000	35.232143	o
167.250000	34.053571	o
167.250000	32.875000	o
167.250000	31.696429	o
167.250000	30.517857	o
167.250000	29.339286	o
167.250000	28.160714	o
167.250000	26.982143	o
167.250000	25.803571	o
167.250000	24.625000	o
167.250000	23.446429	o
167.250000	22.267857	o
167.250000	21.089286	o
168.150000	36.410714	o
168.150000	35.232143	o
168.150000	34.053571	o
168.150000	32.875000	o
168.150000	31.696429	o
168.150000	30.517857	o
168.150000	29.339286	o
168.150000	28.160714	o
168.150000	26.982143	o
168.150000	25.803571	o
168.150000	24.625000	o
168.150000	23.446429	o
168.150000	22.267857	o
168.150000	21.089286	o
169.050000	36.410714	o
169.050000	35.232143	o
169.050000	34.053571	o
169.050000	32.875000	o
169.050000	31.696429	o
169.050000	30.517857	o
169.050000	29.339286	o
169.050000	28.160714	o
169.050000	26.982143	o
169.050000	25.803571	o
169.050000	24.625000	o
169.050000	23.446429	o
169.050000	22.267857	o
169.050000	21.089286	o
185.450000	19.410714	x
185.450000	18.232143	x
185.450000	17.053571	x
185.450000	15.875000	x
185.450000	14.696429	x
185.450000	13.517857	x
185.450000	12.339286	x
185.450000	11.160714	x
185.450000	9.982143	x
185.450000	8.803571	x
185.450000	7.625000	x
185.450000	6.446429	x
185.450000	5.267857	x
185.450000	4.089286	x
186.350000	19.410714	x
186.350000	18.232143	x
186.350000	17.053571	x
186.350000	15.875000	x
186.350000	14.696429	x
186.350000	13.517857	x
186.350000	12.339286	x
186.350000	11.160714	x
186.350000	9.982143	x
186.350000	8.803571	x
186.350000	7.625000	x
186.350000	6.446429	x
186.350000	5.267857	x
186.350000	4.089286	x
187.250000	19.410714	x
187.250000	18.232143	x
187.250000	17.053571	x
187.250000	15.875000	x
187.250000	14.696429	x
187.250000	13.517857	x
187.250000	12.339286	x
187.250000	11.160714	x
187.250000	9.982143	x
187.250000	8.803571	x
187.250000	7.625000	x
187.250000	6.446429	x
187.250000	5.267857	x
187.250000	4.089286	x
188.150000	19.410714	x
188.150000	18.232143	x
188.150000	17.053571	x
188.150000	15.875000	x
188.150000	14.696429	x
188.150000	13.517857	x
188.150000	12.339286	x
188.150000	11.160714	x
188.150000	9.982143	x
188.150000	8.803571	x
188.150000	7.625000	x
188.150000	6.446429	x
188.150000	5.267857	x
188.150000	4.089286	x
189.050000	19.410714	x
189.050000	18.232143	x
189.050000	17.053571	x
189.050000	15.875000	x
189.050000	14.696429	x
189.050000	13.517857	x
189.050000	12.339286	x
189.050000	11.160714	x
189.050000	9.982143	x
189.050000	8.803571	x
189.050000	7.625000	x
189.050000	6.446429	x
189.050000	5.267857	x
189.050000	4.089286	x
