n	x	y	z
152	20.000000	37.031250	1476.384168
153	20.000000	36.093750	1203.791358
154	20.000000	35.156250	898.185535
155	20.000000	34.218750	714.355251
156	20.000000	33.281250	653.136012
157	20.000000	32.343750	681.616804
158	20.000000	31.406250	763.725117
159	20.000000	30.468750	872.102939
160	20.000000	29.531250	990.299937
161	20.000000	28.593750	1111.382297
162	20.000000	27.656250	1236.051294
163	20.000000	26.718750	1371.237582
164	20.000000	25.781250	1529.190044
165	20.000000	24.843750	1726.579581
166	20.000000	23.906250	1982.426731
167	20.000000	22.968750	2312.475689
168	20.000000	22.031250	2717.045526
169	20.000000	21.093750	3148.201969
170	20.000000	20.156250	3429.603742
171	20.000000	19.218750	3759.001056
172	20.000000	18.281250	4043.328727
173	20.000000	17.343750	4231.208346
174	20.000000	16.406250	4330.485658
175	20.000000	15.468750	4350.964835
176	20.000000	14.531250	4300.328650
177	20.000000	13.593750	4184.881152
178	20.000000	12.656250	4010.270890
179	20.000000	11.718750	3781.783096
180	20.000000	10.781250	3504.741421
181	20.000000	9.843750	3185.486634
182	20.000000	8.906250	2833.176789
183	20.000000	7.968750	2462.305782
184	20.000000	7.031250	2095.003337
185	20.000000	6.093750	1760.448109
186	20.000000	5.156250	1486.867315
187	20.000000	4.218750	1284.236655
188	20.000000	3.281250	1128.829262
189	20.000000	2.343750	971.805860
190	20.000000	1.406250	772.463102
191	20.000000	0.468750	522.601883
192	20.281250	0.000000	433.515583
193	20.843750	0.000000	335.588984
194	21.406250	0.000000	218.989005
195	21.968750	0.000000	76.064469
196	22.531250	0.000000	-102.711292
197	23.093750	0.000000	-327.521384
198	23.656250	0.000000	-605.753008
199	24.218750	0.000000	-935.895115
200	24.500000	0.468750	825.243581
201	24.500000	1.406250	372.902572
202	24.500000	2.343750	-205.336296
203	24.500000	3.281250	-740.549804
204	24.500000	4.218750	-1148.900698
205	24.500000	5.156250	-1781.310806
206	24.500000	6.093750	-2336.879370
207	24.500000	7.031250	-2776.588644
208	24.500000	7.968750	-3112.089214
209	24.500000	8.906250	-3363.948623
210	24.500000	9.843750	-3550.321041
211	24.500000	10.781250	-3683.600492
212	24.500000	11.718750	-3770.447543
213	24.500000	12.656250	-3812.868539
214	24.500000	13.593750	-3809.604502
215	24.500000	14.531250	-3757.821685
216	24.500000	15.468750	-3655.366634
217	24.500000	16.406250	-3503.914502
218	24.500000	17.343750	-3313.138217
219	24.500000	18.281250	-3105.177154
220	24.500000	19.218750	-2928.762840
221	24.500000	20.156250	-2956.277312
222	24.500000	21.093750	-2692.162227
223	24.500000	22.031250	-2575.589794
224	24.500000	22.968750	-2495.615531
225	24.500000	23.906250	-2409.244901
226	24.500000	24.843750	-2323.869066
227	24.500000	25.781250	-2252.682545
228	24.500000	26.718750	-2205.254806
229	24.500000	27.656250	-2185.311303
230	24.500000	28.593750	-2191.636341
231	24.500000	29.531250	-2219.284188
232	24.500000	30.468750	-2259.800841
233	24.500000	31.406250	-2300.053249
234	24.500000	32.343750	-2319.853778
235	24.500000	33.281250	-2289.580930
236	24.500000	34.218750	-2171.214327
237	24.500000	35.156250	-1929.479367
238	24.500000	36.093750	-1567.565180
239	24.500000	37.031250	-1341.905474
240	24.843750	37.500000	-1796.021720
241	25.531250	37.500000	-1552.783157
242	26.218750	37.500000	-1531.797489
243	26.906250	37.500000	-1547.683264
244	27.593750	37.500000	-1564.530723
245	28.281250	37.500000	-1582.431137
246	28.968750	37.500000	-1637.467048
247	29.656250	37.500000	-1915.164343
248	30.000000	37.031250	-3016.473773
249	30.000000	36.093750	-3391.922291
250	30.000000	35.156250	-3911.956654
251	30.000000	34.218750	-4319.781286
252	30.000000	33.281250	-4611.500373
253	30.000000	32.343750	-4821.275683
254	30.000000	31.406250	-4985.551281
255	30.000000	30.468750	-5131.855371
256	30.000000	29.531250	-5277.710708
257	30.000000	28.593750	-5432.944316
258	30.000000	27.656250	-5601.949495
259	30.000000	26.718750	-5784.650060
260	30.000000	25.781250	-5975.917723
261	30.000000	24.843750	-6163.827329
262	30.000000	23.906250	-6328.249813
263	30.000000	22.968750	-6443.402391
264	30.000000	22.031250	-6490.217336
265	30.000000	21.093750	-6508.216232
266	30.000000	20.156250	-6622.130551
267	30.000000	19.218750	-6424.536034
268	30.000000	18.281250	-6446.290550
269	30.000000	17.343750	-6536.191150
270	30.000000	16.406250	-6648.199492
271	30.000000	15.468750	-6752.013739
272	30.000000	14.531250	-6827.488731
273	30.000000	13.593750	-6864.451266
274	30.000000	12.656250	-6859.497541
275	30.000000	11.718750	-6812.526031
276	30.000000	10.781250	-6724.028345
277	30.000000	9.843750	-6593.217940
