n	x	y	J	J0
139	14.500000	33.281250	-7.394468	-4.929645
140	14.500000	34.218750	-6.972996	-4.648664
141	14.500000	35.156250	-6.572628	-4.381752
142	14.500000	36.093750	-6.216787	-4.144524
143	14.500000	37.031250	-6.055353	-4.036902
144	14.843750	37.500000	-0.653016	-0.435344
145	15.531250	37.500000	-0.711102	-0.474068
146	16.218750	37.500000	-0.925926	-0.617284
147	16.906250	37.500000	-1.155500	-0.770333
148	17.593750	37.500000	-1.370784	-0.913856
149	18.281250	37.500000	-1.570606	-1.047071
150	18.968750	37.500000	-1.781623	-1.187749
151	19.656250	37.500000	-2.143357	-1.428905
152	20.000000	37.031250	2.214576	1.476384
153	20.000000	36.093750	1.805687	1.203791
154	20.000000	35.156250	1.347278	0.898186
155	20.000000	34.218750	1.071533	0.714355
156	20.000000	33.281250	0.979704	0.653136
157	20.000000	32.343750	1.022425	0.681617
158	20.000000	31.406250	1.145588	0.763725
159	20.000000	30.468750	1.308154	0.872103
160	20.000000	29.531250	1.485450	0.990300
161	20.000000	28.593750	1.667073	1.111382
162	20.000000	27.656250	1.854077	1.236051
163	20.000000	26.718750	2.056856	1.371238
164	20.000000	25.781250	2.293785	1.529190
165	20.000000	24.843750	2.589869	1.726580
166	20.000000	23.906250	2.973640	1.982427
167	20.000000	22.968750	3.468714	2.312476
168	20.000000	22.031250	4.075568	2.717046
169	20.000000	21.093750	4.722303	3.148202
170	20.000000	20.156250	5.144406	3.429604
171	20.000000	19.218750	5.638502	3.759001
172	20.000000	18.281250	6.064993	4.043329
173	20.000000	17.343750	6.346813	4.231208
174	20.000000	16.406250	6.495728	4.330486
175	20.000000	15.468750	6.526447	4.350965
176	20.000000	14.531250	6.450493	4.300329
177	20.000000	13.593750	6.277322	4.184881
178	20.000000	12.656250	6.015406	4.010271
179	20.000000	11.718750	5.672675	3.781783
180	20.000000	10.781250	5.257112	3.504741
181	20.000000	9.843750	4.778230	3.185487
182	20.000000	8.906250	4.249765	2.833177
183	20.000000	7.968750	3.693459	2.462306
184	20.000000	7.031250	3.142505	2.095003
185	20.000000	6.093750	2.640672	1.760448
186	20.000000	5.156250	2.230301	1.486867
187	20.000000	4.218750	1.926355	1.284237
188	20.000000	3.281250	1.693244	1.128829
189	20.000000	2.343750	1.457709	0.971806
190	20.000000	1.406250	1.158695	0.772463
191	20.000000	0.468750	0.783903	0.522602
192	20.281250	0.000000	0.650273	0.433516
193	20.843750	0.000000	0.503383	0.335589
194	21.406250	0.000000	0.328484	0.218989
195	21.968750	0.000000	0.114097	0.076064
196	22.531250	0.000000	-0.154067	-0.102711
197	23.093750	0.000000	-0.491282	-0.327521
198	23.656250	0.000000	-0.908630	-0.605753
199	24.218750	0.000000	-1.403843	-0.935895
200	24.500000	0.468750	1.237865	0.825244
201	24.500000	1.406250	0.559354	0.372903
202	24.500000	2.343750	-0.308004	-0.205336
203	24.500000	3.281250	-1.110825	-0.740550
204	24.500000	4.218750	-1.723351	-1.148901
205	24.500000	5.156250	-2.671966	-1.781311
206	24.500000	6.093750	-3.505319	-2.336879
207	24.500000	7.031250	-4.164883	-2.776589
208	24.500000	7.968750	-4.668134	-3.112089
209	24.500000	8.906250	-5.045923	-3.363949
210	24.500000	9.843750	-5.325482	-3.550321
211	24.500000	10.781250	-5.525401	-3.683600
212	24.500000	11.718750	-5.655671	-3.770448
213	24.500000	12.656250	-5.719303	-3.812869
214	24.500000	13.593750	-5.714407	-3.809605
215	24.500000	14.531250	-5.636733	-3.757822
216	24.500000	15.468750	-5.483050	-3.655367
217	24.500000	16.406250	-5.255872	-3.503915
218	24.500000	17.343750	-4.969707	-3.313138
219	24.500000	18.281250	-4.657766	-3.105177
220	24.500000	19.218750	-4.393144	-2.928763
221	24.500000	20.156250	-4.434416	-2.956277
222	24.500000	21.093750	-4.038243	-2.692162
223	24.500000	22.031250	-3.863385	-2.575590
224	24.500000	22.968750	-3.743423	-2.495616
225	24.500000	23.906250	-3.613867	-2.409245
226	24.500000	24.843750	-3.485804	-2.323869
227	24.500000	25.781250	-3.379024	-2.252683
228	24.500000	26.718750	-3.307882	-2.205255
229	24.500000	27.656250	-3.277967	-2.185311
230	24.500000	28.593750	-3.287455	-2.191636
231	24.500000	29.531250	-3.328926	-2.219284
232	24.500000	30.468750	-3.389701	-2.259801
233	24.500000	31.406250	-3.450080	-2.300053
234	24.500000	32.343750	-3.479781	-2.319854
235	24.500000	33.281250	-3.434371	-2.289581
236	24.500000	34.218750	-3.256821	-2.171214
237	24.500000	35.156250	-2.894219	-1.929479
238	24.500000	36.093750	-2.351348	-1.567565
239	24.500000	37.031250	-2.012858	-1.341905
240	24.843750	37.500000	-2.694033	-1.796022
241	25.531250	37.500000	-2.329175	-1.552783
242	26.218750	37.500000	-2.297696	-1.531797
243	26.906250	37.500000	-2.321525	-1.547683
244	27.593750	37.500000	-2.346796	-1.564531
245	28.281250	37.500000	-2.373647	-1.582431
246	28.968750	37.500000	-2.456201	-1.637467
247	29.656250	37.500000	-2.872747	-1.915164
248	30.000000	37.031250	-4.524711	-3.016474
249	30.000000	36.093750	-5.087883	-3.391922
250	30.000000	35.156250	-5.867935	-3.911957
251	30.000000	34.218750	-6.479672	-4.319781
252	30.000000	33.281250	-6.917251	-4.611500
253	30.000000	32.343750	-7.231914	-4.821276
254	30.000000	31.406250	-7.478327	-4.985551
255	30.000000	30.468750	-7.697783	-5.131855
256	30.000000	29.531250	-7.916566	-5.277711
257	30.000000	28.593750	-8.149416	-5.432944
258	30.000000	27.656250	-8.402924	-5.601949
259	30.000000	26.718750	-8.676975	-5.784650
260	30.000000	25.781250	-8.963877	-5.975918
261	30.000000	24.843750	-9.245741	-6.163827
262	30.000000	23.906250	-9.492375	-6.328250
263	30.000000	22.968750	-9.665104	-6.443402
264	30.000000	22.031250	-9.735326	-6.490217
265	30.000000	21.093750	-9.762324	-6.508216
266	30.000000	20.156250	-9.933196	-6.622131
267	30.000000	19.218750	-9.636804	-6.424536
268	30.000000	18.281250	-9.669436	-6.446291
269	30.000000	17.343750	-9.804287	-6.536191
270	30.000000	16.406250	-9.972299	-6.648199
271	30.000000	15.468750	-10.128021	-6.752014
272	30.000000	14.531250	-10.241233	-6.827489
273	30.000000	13.593750	-10.296677	-6.864451
274	30.000000	12.656250	-10.289246	-6.859498
275	30.000000	11.718750	-10.218789	-6.812526
276	30.000000	10.781250	-10.086043	-6.724028
277	30.000000	9.843750	-9.889827	-6.593218
278	30.000000	8.906250	-9.625225	-6.416817
279	30.000000	7.968750	-9.282621	-6.188414
280	30.000000	7.031250	-8.848045	-5.898697
281	30.000000	6.093750	-8.306495	-5.537663
282	30.000000	5.156250	-7.652056	-5.101371
283	30.000000	4.218750	-6.937410	-4.624940
284	30.000000	3.281250	-6.579898	-4.386599
285	30.000000	2.343750	-5.999131	-3.999421
286	30.000000	1.406250	-5.274023	-3.516015
287	30.000000	0.468750	-4.638649	-3.092433
288	30.281250	0.000000	-2.638044	-1.758696
289	30.843750	0.000000	-2.347418	-1.564945
290	31.406250	0.000000	-2.118254	-1.412169
291	31.968750	0.000000	-1.946779	-1.297852
292	32.531250	0.000000	-1.814460	-1.209640
293	33.093750	0.000000	-1.698059	-1.132039
294	33.656250	0.000000	-1.577373	-1.051582
295	34.218750	0.000000	-1.441625	-0.961083
296	34.500000	0.468750	5.810663	3.873775
297	34.500000	1.406250	6.367654	4.245103
298	34.500000	2.343750	6.875995	4.583997
299	34.500000	3.281250	7.238148	4.825432
300	34.500000	4.218750	7.474131	4.982754
301	34.500000	5.156250	7.943659	5.295773
302	34.500000	6.093750	8.477504	5.651669
303	34.500000	7.031250	9.047039	6.031359
304	34.500000	7.968750	9.627894	6.418596
305	34.500000	8.906250	10.195248	6.796832
306	34.500000	9.843750	10.729157	7.152771
307	34.500000	10.781250	11.215086	7.476724
308	34.500000	11.718750	11.642267	7.761511
309	34.500000	12.656250	12.001609	8.001073
310	34.500000	13.593750	12.283696	8.189131
311	34.500000	14.531250	12.476791	8.317861
312	34.500000	15.468750	12.564667	8.376444
313	34.500000	16.406250	12.524390	8.349593
314	34.500000	17.343750	12.325378	8.216919
315	34.500000	18.281250	11.934379	7.956253
316	34.500000	19.218750	11.348068	7.565378
317	34.500000	20.156250	10.841981	7.227987
318	34.500000	21.093750	10.310043	6.873362
319	34.500000	22.031250	9.451207	6.300805
320	34.500000	22.968750	8.657796	5.771864
321	34.500000	23.906250	7.996315	5.330877
322	34.500000	24.843750	7.449506	4.966338
323	34.500000	25.781250	6.980408	4.653605
324	34.500000	26.718750	6.554066	4.369377
325	34.500000	27.656250	6.144970	4.096647
326	34.500000	28.593750	5.737925	3.825284
327	34.500000	29.531250	5.327403	3.551602
328	34.500000	30.468750	4.917535	3.278357
329	34.500000	31.406250	4.523428	3.015619
330	34.500000	32.343750	4.173605	2.782403
331	34.500000	33.281250	3.911967	2.607978
332	34.500000	34.218750	3.794535	2.529690
333	34.500000	35.156250	3.871741	2.581161
334	34.500000	36.093750	4.142695	2.761796
335	34.500000	37.031250	4.375031	2.916688
336	34.843750	37.500000	-2.732496	-1.821664
337	35.531250	37.500000	-2.425048	-1.616698
338	36.218750	37.500000	-2.267186	-1.511457
339	36.906250	37.500000	-2.118996	-1.412664
340	37.593750	37.500000	-1.953420	-1.302280
341	38.281250	37.500000	-1.771215	-1.180810
342	38.968750	37.500000	-1.600962	-1.067308
343	39.656250	37.500000	-1.584124	-1.056082
344	40.000000	37.031250	-7.534851	-5.023234
345	40.000000	36.093750	-7.771300	-5.180867
