x 	y	class
59.125000	26.687500	o
59.125000	25.862500	o
59.125000	25.037500	o
59.125000	24.212500	o
59.125000	23.387500	o
59.125000	22.562500	o
59.125000	21.737500	o
59.125000	20.912500	o
55.375000	19.587500	o
55.375000	18.762500	o
55.375000	17.937500	o
55.375000	17.112500	o
55.375000	16.287500	o
55.375000	15.462500	o
55.375000	14.637500	o
55.375000	13.812500	o
55.375000	12.987500	o
55.375000	12.162500	o
55.375000	11.337500	o
55.375000	10.512500	o
55.375000	9.687500	o
55.375000	8.862500	o
55.375000	8.037500	o
55.375000	7.212500	o
55.375000	6.387500	o
55.375000	5.562500	o
55.375000	4.737500	o
55.375000	3.912500	o
56.125000	19.587500	o
56.125000	18.762500	o
56.125000	17.937500	o
56.125000	17.112500	o
56.125000	16.287500	o
56.125000	15.462500	o
56.125000	14.637500	o
56.125000	13.812500	o
56.125000	12.987500	o
56.125000	12.162500	o
56.125000	11.337500	o
56.125000	10.512500	o
56.125000	9.687500	o
56.125000	8.862500	o
56.125000	8.037500	o
56.125000	7.212500	o
56.125000	6.387500	o
56.125000	5.562500	o
56.125000	4.737500	o
56.125000	3.912500	o
56.875000	19.587500	o
56.875000	18.762500	o
56.875000	17.937500	o
56.875000	17.112500	o
56.875000	16.287500	o
56.875000	15.462500	o
56.875000	14.637500	o
56.875000	13.812500	o
56.875000	12.987500	o
56.875000	12.162500	o
56.875000	11.337500	o
56.875000	10.512500	o
56.875000	9.687500	o
56.875000	8.862500	o
56.875000	8.037500	o
56.875000	7.212500	o
56.875000	6.387500	o
56.875000	5.562500	o
56.875000	4.737500	o
56.875000	3.912500	o
57.625000	19.587500	o
57.625000	18.762500	o
57.625000	17.937500	o
57.625000	17.112500	o
57.625000	16.287500	o
57.625000	15.462500	o
57.625000	14.637500	o
57.625000	13.812500	o
57.625000	12.987500	o
57.625000	12.162500	o
57.625000	11.337500	o
57.625000	10.512500	o
57.625000	9.687500	o
57.625000	8.862500	o
57.625000	8.037500	o
57.625000	7.212500	o
57.625000	6.387500	o
57.625000	5.562500	o
57.625000	4.737500	o
57.625000	3.912500	o
58.375000	19.587500	o
58.375000	18.762500	o
58.375000	17.937500	o
58.375000	17.112500	o
58.375000	16.287500	o
58.375000	15.462500	o
58.375000	14.637500	o
58.375000	13.812500	o
58.375000	12.987500	o
58.375000	12.162500	o
58.375000	11.337500	o
58.375000	10.512500	o
58.375000	9.687500	o
58.375000	8.862500	o
58.375000	8.037500	o
58.375000	7.212500	o
58.375000	6.387500	o
58.375000	5.562500	o
58.375000	4.737500	o
58.375000	3.912500	o
59.125000	19.587500	o
59.125000	18.762500	o
59.125000	17.937500	o
59.125000	17.112500	o
59.125000	16.287500	o
59.125000	15.462500	o
59.125000	14.637500	o
59.125000	13.812500	o
59.125000	12.987500	o
59.125000	12.162500	o
59.125000	11.337500	o
59.125000	10.512500	o
59.125000	9.687500	o
59.125000	8.862500	o
59.125000	8.037500	o
59.125000	7.212500	o
59.125000	6.387500	o
59.125000	5.562500	o
